Initializing Trading Engine and Market Generator...
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /order                    --> backend/internal/api.(*Handler).PlaceOrder-fm (4 handlers)
[GIN-debug] POST   /cancel                   --> backend/internal/api.(*Handler).CancelOrder-fm (4 handlers)
[GIN-debug] GET    /portfolio                --> backend/internal/api.(*Handler).GetPortfolio-fm (4 handlers)
[GIN-debug] GET    /ws                       --> main.main.func3 (4 handlers)
Systems running. Listening for trades and updates...
API Server starting on :8080...
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[TRADE] Price: 99.01 | Qty:   0.05 | Buyer: 4602262b | Seller: 505e374f | Time: 12:17:51.790
[TRADE] Price: 99.37 | Qty:   2.59 | Buyer: 866d2ebe | Seller: d7e21c9c | Time: 12:17:52.991
[TRADE] Price: 99.68 | Qty:   0.23 | Buyer: 866d2ebe | Seller: a70c0c18 | Time: 12:17:52.991
[TRADE] Price: 99.68 | Qty:   0.27 | Buyer: 957fac29 | Seller: a70c0c18 | Time: 12:17:53.390
[TRADE] Price: 99.68 | Qty:   1.44 | Buyer: 378451e7 | Seller: a70c0c18 | Time: 12:17:53.790
[TRADE] Price: 99.77 | Qty:   0.63 | Buyer: 378451e7 | Seller: 360f1222 | Time: 12:17:53.790
[TRADE] Price: 99.77 | Qty:   0.58 | Buyer: 60b9f678 | Seller: 360f1222 | Time: 12:17:53.990
[TRADE] Price: 100.14 | Qty:   0.22 | Buyer: 60b9f678 | Seller: ce2249de | Time: 12:17:53.990
[TRADE] Price: 100.14 | Qty:   0.30 | Buyer: 2ef8dbf6 | Seller: ce2249de | Time: 12:17:54.191
[TRADE] Price: 100.24 | Qty:   1.50 | Buyer: 2ef8dbf6 | Seller: 932bd655 | Time: 12:17:54.191
[TRADE] Price: 101.27 | Qty:   0.46 | Buyer: 2ef8dbf6 | Seller: cbf42241 | Time: 12:17:54.191
[TRADE] Price: 101.27 | Qty:   0.04 | Buyer: 3ca71b69 | Seller: cbf42241 | Time: 12:17:54.290
[TRADE] Price: 101.27 | Qty:   0.67 | Buyer: e7fff15b | Seller: cbf42241 | Time: 12:17:54.391
[TRADE] Price: 101.66 | Qty:   1.11 | Buyer: b89a5b34 | Seller: 621742c2 | Time: 12:17:54.391
[TRADE] Price: 102.54 | Qty:   0.54 | Buyer: b89a5b34 | Seller: f33ca519 | Time: 12:17:54.391
[TRADE] Price: 104.29 | Qty:   0.93 | Buyer: b89a5b34 | Seller: 845693b1 | Time: 12:17:54.391
[TRADE] Price: 104.29 | Qty:   0.50 | Buyer: 4cbf0f94 | Seller: 845693b1 | Time: 12:17:54.490
[TRADE] Price: 105.11 | Qty:   2.09 | Buyer: 4cbf0f94 | Seller: ea860606 | Time: 12:17:54.490
[TRADE] Price: 105.11 | Qty:   0.88 | Buyer: 4896e66c | Seller: ea860606 | Time: 12:17:54.490
[TRADE] Price: 105.34 | Qty:   1.20 | Buyer: 4896e66c | Seller: 8009b1b0 | Time: 12:17:54.490
[TRADE] Price: 105.34 | Qty:   0.47 | Buyer: add65d3f | Seller: 8009b1b0 | Time: 12:17:54.490
[TRADE] Price: 105.44 | Qty:   0.33 | Buyer: add65d3f | Seller: 244f603f | Time: 12:17:54.490
[TRADE] Price: 106.60 | Qty:   1.49 | Buyer: add65d3f | Seller: aef2dbfe | Time: 12:17:54.490
[TRADE] Price: 106.87 | Qty:   0.33 | Buyer: add65d3f | Seller: 17344929 | Time: 12:17:54.490
[TRADE] Price: 106.87 | Qty:   0.12 | Buyer: d3ef3e6b | Seller: 17344929 | Time: 12:17:54.591
