Initializing Trading Engine and Market Generator...
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /order                    --> backend/internal/api.(*Handler).PlaceOrder-fm (4 handlers)
[GIN-debug] POST   /cancel                   --> backend/internal/api.(*Handler).CancelOrder-fm (4 handlers)
[GIN-debug] GET    /portfolio                --> backend/internal/api.(*Handler).GetPortfolio-fm (4 handlers)
[GIN-debug] GET    /ws                       --> main.main.func2 (4 handlers)
Systems running. Listening for trades and updates...
API Server starting on :8080...
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[TRADE] Price: 100.55 | Qty:   0.68 | Buyer: 883a1666 | Seller: 650a4aee | Time: 12:33:27.652
[TRADE] Price: 99.52 | Qty:   0.98 | Buyer: 5d3cfc1d | Seller: 650a4aee | Time: 12:33:27.752
[TRADE] Price: 100.53 | Qty:   0.54 | Buyer: 5d3cfc1d | Seller: 80aa799b | Time: 12:33:27.752
[TRADE] Price: 100.53 | Qty:   0.43 | Buyer: 5d3cfc1d | Seller: a982b3d1 | Time: 12:33:27.752
[TRADE] Price: 99.41 | Qty:   0.38 | Buyer: 95f29ef5 | Seller: a982b3d1 | Time: 12:33:27.752
[TRADE] Price: 99.41 | Qty:   1.19 | Buyer: 6337c564 | Seller: a982b3d1 | Time: 12:33:27.852
[TRADE] Price: 100.60 | Qty:   0.73 | Buyer: fa3c9cfb | Seller: 01ec9e06 | Time: 12:33:28.052
[TRADE] Price: 100.60 | Qty:   0.24 | Buyer: fa3c9cfb | Seller: 8d9af6a1 | Time: 12:33:28.152
[TRADE] Price: 100.34 | Qty:   1.17 | Buyer: b693936c | Seller: 8d9af6a1 | Time: 12:33:28.152
[TRADE] Price: 100.34 | Qty:   0.52 | Buyer: 10c3fb22 | Seller: 8d9af6a1 | Time: 12:33:28.152
[TRADE] Price: 100.34 | Qty:   1.11 | Buyer: 10c3fb22 | Seller: 9d3096d0 | Time: 12:33:28.152
[TRADE] Price: 100.26 | Qty:   0.79 | Buyer: c3e81db6 | Seller: 9d3096d0 | Time: 12:33:28.152
